,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
227,Big Bazaar,4.3,865,Private,Mumbai + 120 more,19 years old,10000+ employees,"Retail, Textile/Apparel, Fashion/Accessories","Big Bazaar is a household name that is used synonymously with ‘retail’ in India. We represent the requirements of a typical Indian home. Founded in 2001 by Kishore Biyani, we as a retail chain operate under the parent organisation – Future Group – that holds a significant prominence in the Indian retail and fashion sectors.
Big Bazaar is one of the oldest hypermarket chains that houses around 250+ stores in the country. We cover three essential categories in Indian retail: home, food, and fashion. Popular retail chains – like the Food Bazaar and fbb form an integral part of Big Bazaar’s identity. The latter (i.e. fbb) has exponentially grown into a major brand that epitomizes fashion in India."
228,Karvy Fintech,3.6,863,,Hyderabad + 66 more,42 years old,5001-10000 employees,Construction,"KFintech is the largest registrar and a market leader, servicing over 90 million investor accounts spread over 1300 issuers including banks, PSUs and mutual funds. With a workforce of around 5,500+ experienced professionals drawn from various disciplines, and 220 branches Pan India, KFintech has emerged as a market leader in Investor Servicing."
229,Max Healthcare,4.1,859,Partnership,New Delhi + 41 more,35 years old,1001-5000 employees,Healthcare/Pharma,"We are one of India’s leading providers of comprehensive, seamless and integrated world class healthcare services. With a network of 14 hospitals, we offer treatment across all 29 specialties. We have 2300+ leading doctors with international level expertise who are committed to provide highest standards of medical excellence at a fraction of international costs. Our NABH and ISO accredited hospitals offer best in class services to our patients. We understand seeking medical treatment outside your home can be physically and mentally difficult. So at Max, we are eager to get you home!"
230,Delhivery,4.1,857,Private,Gurgaon + 175 more,9 years old,10000+ employees,"Logistics/Shipping, Startup","Delhivery is India's largest  e-commerce enablement company. Our mission is to fulfill all of India's online consumption demand through best-in-class industry solutions,domain expertise and pan-India operations. Delhivery offers extensive services ranging from last mile deliveries, third party fulfillment,warehousing services and software solutions such as channel integration software for sellers selling across multiple platforms.  Delhivery's flexible set of services makes it easier for sellers and consumers to connect faster. Five years into the industry, Delhivery handles over 250,000 shipments per day for over 100,000+ merchants, 25000+ clients and 1800+ retailers across 450+ cities. We provide a modular set of e-commerce technologies and logistics solutions to over 6600+ pin codes."
231,Rane TRW Steering System...,4.1,857,Private,Chennai + 41 more,33 years old,5001-10000 employees,"Machinery / Equipment, Manufacturing","-Incepted in 1987 to manufacture Steering Systems

-Independent and comprehensive units to design, test and manufacture complete rang of power steering solutions and seat belt systems

-Occupant safety Division serves Passenger Car, Utility Vehicle & Commercial 
Vehicle segments

-Seat Belt manufacturing facility added in 1997

-Established dominant share of business in both Commercial Vehicle steering and Passenger Car steering industry

-Both divisions have joint venture partnership with TRW Automotive JV LLC, USA

-Preferred OE partner to Indian OE majors in Passenger Car, Multi Utility Vehicle, 
Light Commercial Vehicle, Medium and Heavy Commercial Vehicle categories."
232,Ceat Tyres,4.3,856,Public,Mumbai + 65 more,62 years old,10000+ employees,"Automobile, Machinery / Equipment, Manufacturing, Fortune500","Mumbai head-quartered CEAT, the flagship company of the Rs 22,000-crore RPG Enterprises, was established in 1958. Today, CEAT is one of India’s leading tyre manufacturers and has strong presence in global markets. CEAT produces over 15 million tyres a year and offers the widest range of tyres to all segments and manufactures world-class radials for: heavy-duty trucks and buses, light commercial vehicles, earthmovers, forklifts, tractors, trailers, cars, motorcycles and scooters as well as auto-rickshaws."
233,Jet Airways,4.5,844,Public,Mumbai + 40 more,27 years old,10000+ employees,Airlines/Aviation/Aerospace,"Jet Airways is the home of India’s premier international airline. We’re proud to bring the people of India together every day through our widespread domestic network which covers metro cities, state capitals and emerging destinations. Internationally, we fly to key destinations in South East Asia, South Asia, Middle East, Europe and North America, covering 66 destinations across the country and beyond.  

Globally, our workforce stands 16000 employees tall, comprising of 36% women. We take pride in 12% of our pilots being women.
Awarded ""India's Best Airline""​ at TripAdvisor's Traveller's Choice® awards in 2017, the Jet Airways Group operates a fleet of 124 aircrafts comprising of Boeing 777-300ERs, the Airbus A330-200/300, Next-Generation Boeing 737s. the ATR 72-500/600s, and our most recent addition - India’s first Boeing 737 MAX.
 
Our major departments include Flight Operations, Engineering, Inflight Services, Corporate, and Ground Services. 
Connect with us here to share ideas and become a part of our #JoyOfFlying journey. Please feel free to share any opinion or suggestion that would help us serve you better."
234,Nestle,4.2,841,Public,Vevey + 111 more,154 years old,10000+ employees,"Food & Beverages, Manufacturing, Retail, MNC, Fortune500","As the world’s largest food and beverage company we are driven by a simple aim: enhancing quality of life and contributing to a healthier future. To deliver on this, we serve with passion, with a spirit of excellence, offering products and services for all stages of life, every moment of the day, helping people care for themselves and their families. Our culture is based on our values rooted in respect: respect for ourselves, respect for others, respect for diversity and respect for the future.

We can trace our origin back to 1866, when the first European condensed milk factory was opened in Cham, Switzerland, by the Anglo-Swiss Condensed Milk Company. One year later, Henri Nestlé, a trained pharmacist, launched one of the world’s first prepared infant cereals ‘Farine lactée’ in Vevey, Switzerland.

Today, we employ around 328,000 people and have factories or operations in almost every country in the world. With our headquarters still based in the Swiss town of Vevey, we had sales of CHF 89.5 billion in 2016."
235,Adani Power,4.3,839,Public,Ahmedabad + 63 more,24 years old,1001-5000 employees,"Manufacturing, Power & Energy, MNC, Fortune500","Adani Power Limited (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. We have a power generation capacity of 12,450 MW comprising thermal power plants in Gujarat, Maharashtra, Karnataka, Rajasthan, and Chhattisgarh and a 40 MW solar power project in Gujarat.

We were the world’s first company to set up a coal-based Supercritical thermal power project registered under the Clean Development Mechanism (CDM) of the Kyoto protocol. Despite being a new entrant to power generation in 2006, we capitalised on the project management skills of the Adani Group to set up our first power plant at Mundra successfully and efficiently.

The power sector in India has undergone a challenging period in the past few years, which put to test the resilience of our business model. We have emerged stronger by successfully navigating the challenges through prudence, persistence and discipline."
236,24/7 Customer,3.8,837,Private,San Jose + 5 more,20 years old,10000+ employees,"Computer Software, IT/ITES","[24]7.ai is redefining the way companies interact with consumers. Using artificial
intelligence and machine learning to understand consumer intent, the company’s
technology helps companies create a personalized, predictive, and effortless customer experience across all channels. The world’s largest and most recognizable brands are using intent-driven engagement from [24]7.ai to assist several hundred million visitors annually, through more than 1.5 billion conversations, most of which are automated. The result is an order of magnitude improvement in digital adoption, customer satisfaction, and revenue growth."
237,Wockhardt,4.2,836,Public,Mumbai + 58 more,21 years old,5001-10000 employees,"Healthcare/Pharma, Fortune500","Wockhardt is a global pharmaceutical and biotechnology organisation, providing affordable, high-quality medicines for a healthier world. It is India’s leading research-based global healthcare enterprise with relevance in the fields of Pharmaceuticals, Biotechnology and a chain of advanced Super Speciality Hospitals.

Wockhardt is a true Indian Multi-National Company with a multi-ethnic workforce of 8600 Wockhardt Associates from 21 different nationalities globally. It has 3 research centres and 12 manufacturing plants, with businesses ranging from the manufacture and marketing of Pharmaceutical and Bio-pharmaceutical formulations, Active Pharmaceutical Ingredients (APIs) and Vaccines."
238,Lifestyle,4.4,834,Private,Bangalore + 60 more,21 years old,10000+ employees,"Retail, Textile/Apparel, Fashion/Accessories","Lifestyle is India's premier fashion destination for the latest trends and hottest styles. Lifestyle is India's leading fashion destination for the latest trends. Part of Dubai based retail and hospitality conglomerate - The Landmark Group, Lifestyle brings multiple categories including men, women and kids’ apparel, footwear, handbags, fashion accessories and beauty under the convenience of a single roof. Lifestyle provides seamless and hassle-free shopping, offering leading national and international brands along with the convenience of a true omni-channel experience with its online store lifestylestores.com. The company is recipient of numerous awards and accolades, including Most Admired Fashion Retail Destination of the Year at Images Fashion Awards for 5 consecutive years; No. 1 India’s Best Company to Work for in the retail industry for 2 consecutive years and Top 10 Best companies to Work for in India in 2015 - Great Places to Work Institute®. Currently, Lifestyle is present across 77 stores, 44 cities and delivers to over 26000 pin codes. Lifestyle is a true omni-channel player with its online store lifestylestores.com where customers can shop from the convenience of their home."
239,Vishal Mega Mart,4.0,825,Private,Gurugram + 138 more,34 years old,5001-10000 employees,"Retail, Textile/Apparel","Vishal Mega Mart, one of the pioneers of retailing in India, is represented through its 322 brick and mortar stores across the length and breadth of the country. We strive to make the aspirations of our customers affordable. Having said that we do everything that can take us nearer to our goal. Our proposition -best price, best assortment and best quality makes us unique among the millions of our customers who give us a chance to service them daily. While our stores house groceries, FMCG, fashion, household, electronics among other categories, we are currently online with fashion apparel only catering to men, women & kids Fashion. Our assortments online include Jeans, t-shirts, tops, casual shirts, formal shirts, trousers, ethnic wear, active wear and many more.

At myvishal.com, we encourage you to indulge yourself more on online shopping with your choices of fashion assortment for all ages. What set us apart and unique is the right pricing with no compromise in quality in its products and services. With the most friendly return policy, you can visit any of our stores across India and return your order if you are not satisfied with them.

Vishal is sharply focused at the needs of consumers in Apparel, General Merchandise, Grocery and Personal Care in Tier-1, Tier-2 and Tier-3 cities and towns and is dedicated to offer the best value and choice to its millions of customers."
240,Voltas,4.2,824,Public,Mumbai + 91 more,66 years old,10000+ employees,"Machinery / Equipment, Manufacturing, Electronics, Fortune500, MNC","Voltas is the No. 1* Room Air Conditioner Brand in India. Apart from ACs, Voltas offers a wide range of cooling products including Air Coolers, Commercial Refrigeration, Water Coolers and Water Dispensers. Apart from being the leaders in consumer products, Voltas is also one of the world's premier engineering solutions providers and project specialists. We offer engineering solutions for a wide spectrum of industries such as heating, ventilation, air conditioning, refrigeration, electro-mechanical projects, water management, mining, construction & textile."
241,Dilip Buildcon,4.1,822,Public,Bhopal + 83 more,32 years old,10000+ employees,"Construction, Fortune500","From humble beginnings in 1987 to a road focused EPC leader in 2017, DBL’s journey is characterized by hard work, respect for relationships, and a drive to excel in anything they take up. They have upheld the tradition of giving their best to all projects since conception. DBL’s value-centric delivery, execution process and commitment to innovation have set the stage for the next phase of growth."
242,café Coffee day,4.0,819,Private,Banglore + 64 more,24 years old,10000+ employees,"Food & Beverages, Retail","Café Coffee Day, a part of Coffee Day Global Limited, is India’s favourite hangout for coffee and conversations. Popularly known as CCD, we strive to provide the best experience to our guests. Our coffees are sourced from thousands of small coffee planters, who made us who we are today and we're glad to be a part of their lives. We opened our first cafe in 1996 at Brigade Road in Bangalore – the youth and the young at heart immediately took to the cafe, and it continues to be one of the most happening places in the city. CCD to the youth is a “hangout” spot where they meet people, make conversations, and have a whole lot of fun over steaming cups of great coffee.It's been an exciting journey since then to becoming the largest organised retail cafe chain in the country. We’re also present in Austria, Czech Republic and Malaysia, so if your travel takes you there, do stop by our outlets to get a taste from back home!"
243,Yamaha Motor,4.0,818,Private,Iwata + 78 more,65 years old,10000+ employees,"Automobile, Machinery / Equipment, Manufacturing, MNC","For over 50 years, Yamaha Motor group has endeavored to create diverse value through products and services since its founding.

We have worked based on three ideas which constitute our “Corporate Philosophy”. One is our “Corporate Mission”, that is our core identity, values, purpose and visionary goals. The second is “Management Principles” - the guiding management principles for achieving our corporate mission. The third is “Action Guidelines”, the guidelines each individual should follow to realize our corporate mission.

Being the “Kando* creating company” is our goal to “offer new excitement and a more fulfilling life for people all over the world”. We strive to use our ingenuity and passion to realize peoples' dreams and always be the ones they look up to for “the next Kando*.”"
244,Edelweiss,3.9,815,Public,Mumbai + 118 more,25 years old,10000+ employees,"Financial Services, Conglomerate, Fortune500","At Edelweiss, our nuanced understanding of the sector, deftly balancing risks with rewards, combined with a relentless focus on systems, processes and highest governance standards, enables to make a difference to our customers.

Edelweiss is one of India's leading financial services conglomerates, offering a robust platform, to a diversified client base across domestic and global geographies.

Our continuous and single-minded focus is on understanding customers’ needs and offering the right financial solutions."
245,JMC Projects,4.2,809,Public,Mumbai + 46 more,38 years old,5001-10000 employees,"Construction, IT/ITES","Over the last 3 decades, JMC has been instrumental in making our country infrastructure more efficient through building & integrating terrains and cityscapes. JMC has constructed landmark edifices across the country. JMC touches our lives through landmark edifices including highways, expressways, bridges, flyovers, townships, tall buildings, hospitals, industrial units, power plants etc. Of late, the company has started expanding vistas by taking orders from international counterparts. We strive to achieve excellence through speedy execution, cost efficiency, management of sustainability concerns, safety and all regulatory compliances etc."
246,Kotak Mahindara Life Ins...,3.9,805,,Mumbai + 116 more,19 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","Kotak Life has bought back its stake from Old Mutual and is no longer in a joint venture, thus making us a 100% owned subsidiary of Kotak Mahindra Bank Ltd.

About Kotak Mahindra Life Insurance Company Ltd.
Kotak Mahindra Life Insurance Company Ltd (Formerly known as Kotak Mahindra Old Mutual Life Insurance Ltd.) is a 100% owned subsidiary of Kotak Mahindra Bank Ltd.
The company combines its international strengths and local advantages to offer its customers a wide range of innovative life insurance products thereby helping them take important financial decisions at every stage in life and stay financially independent. The company covers over 18 million lives and is one of the fastest growing insurance companies in India."
247,Blue Star,4.2,802,Public,Mumbai + 78 more,77 years old,10000+ employees,"Consumer goods, Manufacturing, Electronics, Fortune500","Blue Star is India's leading air conditioning and commercial refrigeration company, with an annual revenue of over ₹5200 crores (over US$ 750 million), a network of 32 offices, 5 modern manufacturing facilities, 2800 employees, and 2900 channel partners. The Company has 5000 stores for room ACs, packaged air conditioners, chillers, cold rooms as well as refrigeration products and systems, along with 765 service associates reaching out to customers in over 800 towns. Blue Star's integrated business model of a manufacturer, contractor and after-sales service provider enables it to offer an end-to-end solution to its customers, which has proved to be a significant differentiator in the market place. In fact, every third commercial building in India has a Blue Star product installed.
The Company fulfills the cooling requirements of a large number of corporate, commercial as well as residential customers. Blue Star has also forayed into the residential water purifiers business with a stylish and differentiated range including India’s first RO+UV Hot & Cold water purifier; as well as the air purifiers and air coolers businesses. The Company also offers expertise in allied contracting activities such as electrical, plumbing, fire-fighting and industrial projects, in order to offer turnkey solutions, apart from execution of specialised industrial projects."
248,PNB MetLife,3.8,802,Private,Mumbai + 144 more,19 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","PNB MetLife India Insurance Company Limited (PNB MetLife) is one of the leading life insurance companies in India. PNB MetLife  has as its shareholders MetLife International Holdings LLC (MIHL), Punjab National Bank Limited (PNB), Jammu & Kashmir Bank Limited (JKB), M. Pallonji and Company Private Limited and other private investors, MIHL and PNB being the majority shareholders. PNB MetLife has been present in India since 2001.
PNB MetLife brings together the financial strength of a leading global life insurance provider, MetLife, Inc., and the credibility and reliability of PNB, one of India's oldest and leading nationalised banks. The vast distribution reach of PNB together with the global insurance expertise and product range of MetLife makes PNB MetLife a strong and trusted insurance provider."
249,Exide Life Insurance,3.7,799,Private,Bengaluru + 146 more,19 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services","Exide Life Insurance Company Limited, an established and profitable life insurance company, commenced operations in 2001-02 and is head quartered in Bengaluru. The company is 100% owned by Exide Industries Limited. The company serves over 15 lakh customers and manages assets of over INR 11000 Crores. During the financial year 2016-17, the company achieved Total Premium Income of over INR 2,400 crores and delivered INR 112 crores in Profits (PBT).  Exide Life Insurance distributes its products through multi-channels viz. Agency, Banc assurance, Corporate Agency & Broking as well as Direct Channels. The Agency channel comprises of 50,000+ advisors who are attached to over 200 company offices across the country.  The company also offers group life insurance solutions. The company is focused on providing long term protection and savings solution plans and has a strong traditional product portfolio with a consistent bonus track record. The company has ISO 9001:2008 quality certification for all Customer Service processes and the ISO/IEC 27001:2013 for information security management."
250,Birla Sun Life Insurance,4.2,798,Partnership,Mumbai + 189 more,20 years old,10000+ employees,Financial Services,"Aditya Birla Sun Life Insurance Company Limited (ABSLI), is a subsidiary of Aditya Birla Capital Ltd (ABCL). ABSLI was incorporated on August 4th, 2000 and commenced operations on January 17th, 2001. ABSLI is a 51:49 a joint venture between the Aditya Birla Group and Sun Life Financial Inc., a leading international financial services organization in Canada. 

Formerly known as Birla Sun Life Insurance Company Limited, ABSLI is one of India's leading life insurance companies offering a range of products across the customer's life cycle, including children future plans, wealth protection plans, retirement and pension solutions, health plans, traditional term plans and Unit Linked Insurance Plans (""ULIPs"").

As of 30 June 2019, total AUM of ABSLI stood at Rs. 410,110 million. ABSLI recorded a gross premium income of Rs. 12,607 million in Q1 FY 2019-20 and registering a y-o-y growth of 30% in Individual First Year Premium and currently ranked 7th in Individual Business (Individual FYP adjusted for 10% single premium) (Source: IRDAI reported Financials). ABSLI has a nation-wide distribution presence through 425 branches, 9 bancassurance partners, 6 distribution channels, over 85,000 direct selling agents, other Corporate Agents and Brokers and through its website. The company has over 10,000 employees and more than 16 lac active customers.

Aditya Birla Capital Limited (ABCL), is the financial services platform of the Aditya Birla Group. With a strong presence across the life insurance, asset management, private equity, corporate lending, structured finance, project finance, general insurance broking, wealth management, equity, currency and commodity broking, online personal finance management, housing finance, pension fund management and health insurance business, ABCL is committed to serving the end-to-end financial services needs of its retail and corporate customers. Anchored by more than 18,000 employees, ABCL has a nationwide reach and more than 2,00,000 agents / channel partners."
251,Exide Industries,4.0,798,Public,Kolkata + 119 more,100 years old,10000+ employees,"Manufacturing, Electronics, MNC, Fortune500","For more than six decades, Exide has been one of India's most reliable brands, enjoying unrivalled reputation and recall. Our constant emphasis on innovation, extensive geographic footprint, strong relationship with marquee clients and steady technology upgradations with global business partners have made us a distinct frontrunner in the lead-acid storage batteries space for both automotive and industrial applications."
252,MRF Tyres,3.8,793,Public,Chennai + 117 more,74 years old,10000+ employees,"Manufacturing, Plastics/Rubber, Fortune500, MNC","The MRF story is a truly remarkable one. What started as a rubber balloon factory with a funding of Rs.14, 000 way back in the 40’s is now a multibillion legacy that produces quality tyres used all around India & internationally along with a presence in paints & coats, toys, motorsports and cricket training."
253,AFCONS Infrastructure,4.4,788,Partnership,Mumbai + 36 more,61 years old,5001-10000 employees,Construction,"Welcome to the world of AFCONS Infrastructure Limited, where we believe in walking the distance that has never been crossed before. Our first step forward was in the year 1959, when Rodio Foundation Engineering Limited, Switzerland, and Hazarat & Co came together to form Rodio Hazarat & Co for undertaking construction works.

Today, AFCONS Infrastructure Limited is part of the Shapoorji Pallonji Group, the third-largest construction group in India. We stand proudly as one of the top infrastructure development companies in India with its presence in various parts of the world."
254,RBL Bank,3.8,784,Public,Mumbai + 121 more,77 years old,10000+ employees,"Banking/Insurance/Accounting, Fortune500","RBL Bank is one of India's fastest growing private sector banks with an expanding presence across the country. The Bank offers specialized services under six business verticals namely: Corporate & Institutional Banking, Commercial Banking, Branch & Business Banking, Agri Business Banking, Development Banking and Financial Inclusion, Treasury and Financial Markets Operations. It currently services over 6.9 million customers through a network of 332 Branches, 1,013 Business Correspondent Branches (of which 228 banking outlets) and 376 ATMs spread across 23 Indian States and Union Territories."
255,Udaan,4.2,784,Private,Bangalore + 139 more,4 years old,1001-5000 employees,"Consumer goods, Internet, Retail, Startup","udaan is a Business-to-Business (B2B) ecommerce platform, designed to solve core trade problems for small, medium and large businesses across India. It is the largest such national distribution platform of its kind enabling retailers and businesses to source merchandise from manufacturers, brands, white labels, importers, etc. on a single platform. udaan brings to users the power of technology to grow their business.

The easy-to-use app gives them the power to:

BUY & SELL on their terms with secure payments and hassle-free logistics

GROW their network through access to new regions and customers for brands,manufacturers and marketing & sales support for retailers and businesses

DISCOVER customers, suppliers and products across multiple categories

CONNECT directly with sellers and interested buyers to discuss trade

Make a purchase at the click of a button if you want to buy or post details of a product if you want to sell - add the details - udaan facilitates secure payments and handles all logistics as well

udaan provides access to new markets with a fast, low-cost, low-wastage, highly-reliable shipping & delivery system across India for its buyers and sellers. udaan Capital, the NBFC arm focused on SME financing service, provides financial products for sellers and buyers to grow their business

Businesses can reach out to buyers and sellers across the country. The udaan marketplace facilitates efficient and convenient transactions by offering low and best price, good quality and best selection to its retailers.

udaan enables direct connect between buyers & sellers which allows one-on-one discussions to negotiate terms of trade between transacting parties. The chat feature allows you to have a personal and secure conversation in real time, in a language of your choice. The entire experience is seamless."
256,Itc Infotech India,3.4,783,Private,Kolkata + 24 more,20 years old,10000+ employees,"Consulting, IT/ITES","ITC Infotech is a leading global technology services and solutions provider, led by Business and Technology Consulting. ITC Infotech provides business-friendly solutions to help clients succeed and be future-ready, by seamlessly bringing together digital expertise, strong industry specific alliances and the unique ability to leverage deep domain expertise from ITC Group businesses. The company provides technology solutions and services to enterprises across industries such as Banking & Financial Services, Healthcare, Manufacturing, Consumer Goods, Travel and Hospitality, through a combination of traditional and newer business models, as a long-term sustainable partner."
257,Cummins India,4.3,779,,Mumbai + 43 more,,,Fortune500,
258,PVR Cinemas,4.2,778,Public,Gurgaon + 65 more,23 years old,10000+ employees,"Media & Entertainment / Publishing, Fortune500","PVR Ltd. is the largest and the most premium film exhibition company in India. Since its inception in 1997, the brand has redefined the cinema industry and the way people watch movies in the country. The company acquired Cinemax in 2012 and had taken over DT Cinemas in the year 2016 serving 100 million + patrons annually. Currently PVR operates a cinema circuit of 800 Screens at 170 Properties in 69 Cities (21 states & UTs).

PVR offers a grand collection of cinema formats. From its Mainstream to Gold Class Cinemas, Director’s Cut to the latest sub brands - PVR ICON and PVR Superplex, the company has made exceptional technology like the IMAX®, 4DX and ECX (Enhanced Cinema Experience) accessible to its audience. VR’s recent addition has been P[XL] – India’s first premium extra-large home grown big screen format for a truly enigmatic movie watching experience.

PVR Ltd, the integrated ‘film and retail brand’ has PVR Cinemas as its major subsidiary. Its other two subsidiaries are PVR Leisure and PVR Pictures. PVR Pictures has been a prolific distributor of non-studio/ independent international films in India since 2002. With over 350+ Hollywood, 175+ Hindi, 75+ regional films across genres being released under this banner over more than a decade, PVR Pictures has the highest box office shares of independent foreign language films in the country. The arm has been instrumental in recognizing the gap with respect to the demand and supply of discerning cinema and has consistently released around 30-40 films per year."
259,Aakash Institute,3.5,775,Private,New Delhi + 108 more,32 years old,1001-5000 employees,"Education, Training / Coaching institutes","Majority of students aspire to become ‘Doctor & Engineer’ but very few of them realize their aspirations because they lack proper guidance despite deserving to compete. In fact, if they are motivated and trained properly for the preparation of these competitive exams with an edge, they are bound to succeed. Aiming to help realize the dreams of thousands of such students, Aakash Institute was founded in the year 1988. It was started as a humble coaching institute with 12 students only, who trusted on our simple vision of enlightening the deserving minds. Gradually, with the consistent support of well-wishers and mentors, Aakash Institute has today become a rare phenomenon.  However, who made this grand accomplishment possible, is something very interesting to know? This is no one but an iron-willed visionary Mr. J C Chaudhry, who turned Aakash - an unparalleled brand on the landscape of Medical & Engineering Coaching in India. The three separate units of Aakash are Aakash Institute, Aakash IIT-JEE & Aakash Foundations. All the three divisions run under the aegis of Aakash Educational Services Pvt. Ltd (AESPL). And, these three divisions work as separate operating units in order to facilitate varied students coming from different shades."
260,Blue Dart Express,4.1,774,Public,Mumbai + 109 more,37 years old,10000+ employees,"Logistics/Shipping, Fortune500","Blue Dart Express Ltd., South Asia's premier express air and integrated transportation & distribution company, offers secure and reliable delivery of consignments to over 35,000 locations in India. As part of the DPDHL Group’s (DHL Express, DHL Global Forwarding & DHL Supply Chain) Post - E-commerce - Parcel (PeP) division, Blue Dart accesses the largest and most comprehensive express and logistics network worldwide, covering over 220 countries and territories and offers an entire spectrum of distribution services including air express, freight forwarding, supply chain solutions and customs clearance."
261,Ajanta Pharma,3.9,769,Public,Mumbai + 68 more,47 years old,5001-10000 employees,"Biotech & Life sciences, Healthcare/Pharma, MNC","Ajanta Pharma is a specialty pharmaceutical company engaged in development, manufacturing and marketing of quality finished dosages. Committed to 'Serve Health Care Needs Worldwide', we produce a comprehensive range of specialty products targeting different therapeutic segments for treatment of patients, customised to each market we are present in. We clearly understand our customer’s needs and use cutting edge technology to present innovative solutions. Our business includes Branded Generics in emerging markets of Asia and Africa, Generics in the developed markets of USA and Institution sales."
262,Tata Motors Finance,4.3,769,Private,Thane + 169 more,63 years old,1001-5000 employees,Financial Services,"Tata Motors Finance Limited (TMFL) and Tata Motors Finance Solutions Limited (TMFSL) are Non Banking Financial Companies ( NBFCs) with each of them being a subsidiary of TMF Holdings Limited (TMFHL).

The TMF Holdings Limited is a core investment company (CIC) held 100% by Tata Motors Ltd ( TML ) which is a leading global automobile manufacturer with a portfolio that covers a wide range of cars, sports vehicles, buses, trucks and defense vehicles.

As per the business arrangement, the new vehicle financing business of TMFHL is undertaken by TMFL, while the dealer/vendor financing business and used vehicle refinance/repurchase is undertaken by TMFSL.

Tata Motors Finance Limited (TMFL) is the leading and most preferred financial Institution engaged in financing entire range of Tata Motors Commercial and Passenger vehicles. It is a non-deposit taking systemically important (ND-SI) NBFC.

TMFL is one of the pioneers of vehicle financing established way back in 1957 under a different name. The company is promoted by TMF Holdings Limited Head Quartered at Thane, Maharashtra. The company has a strong footprint across India and operates through its own 260+ branch networks, in addition to Tata Motors dealers’ sales outlets . TMFL’s business interests are focused towards benefiting the parent company and its strategic partners within the Tata Motors eco-system."
263,Biocon,4.2,768,Public,Bangalore + 44 more,42 years old,10000+ employees,"Biotech & Life sciences, Healthcare/Pharma, Fortune500","Biocon Ltd., Asia's premier biopharmaceutical company, is committed to ensure a global right to healthcare by addressing the worldwide need for safe, effective and affordable biotherapeutics. We have harnessed the power of biotechnology through affordable innovation to enhance access to new and differentiated therapies for diseases that are chronic, where medical needs are largely unmet.The Company is a pioneer in bringing the benefit of high quality, yet affordable, novel biologics and biosimilars to patients in India and other emerging markets. Today, we are India's largest and fully-integrated biopharmaceutical company that develops, manufactures and supplies advanced, life-saving biopharmaceuticals for diabetes, cancer and autoimmune conditions at price points that make them affordable and thus accessible."
264,Micro Labs,3.8,765,Private,Bangalore + 73 more,47 years old,10000+ employees,"Healthcare/Pharma, Manufacturing, Research & Development, MNC","Established in 1973, Micro Labs Limited is a multi-faceted healthcare organization with a proficient marketing team, state-of-the-art manufacturing facilities and R&D centres that are at par with international standards. All this, robustly backed by a strong distribution network and path-breaking research work has placed us amongst India's fast growing transnational healthcare organizations.

A privately held company, founded by late Mr. G. C. Surana, the company is under the leadership of Mr. Dilip Surana & Mr. Anand Surana.

Micro Labs occupies leading positions in select therapeutic areas like Cardiology, Diabetology, Ophthalmology, Dermatology, Pain / Analgesics etc."
265,Bank of America,4.3,764,Private,Charlotte + 18 more,22 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, MNC, Fortune500","At Bank of America, we have a clear purpose to help make financial lives better through the power of every connection. We fulfill this purpose through our commitment to responsible growth, which includes a focus on environmental, social and governance (ESG) leadership. Integrated across our eight lines of business — our ESG focus reflects our values, ensures we are holding ourselves accountable, presents tremendous business opportunity, and allows us to create shared success with our clients and communities.

Every day, we provide unmatched convenience in the United States, serving approximately 66 million consumer and small business clients. Bank of America is a global leader in wealth management, corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions and individuals around the world. The company serves clients through operations across the United States, its territories and more than 35 countries."
266,Tata AIA Life Insurance,3.9,762,Private,Mumbai + 128 more,19 years old,10000+ employees,Financial Services,"Tata AIA Life Insurance Company Limited (Tata AIA Life) is a joint venture company, formed by Tata Sons Ltd. and AIA Group Ltd. (AIA). Tata AIA Life combines Tata’s pre-eminent leadership position in India and AIA’s presence as the largest, independent listed pan-Asian life insurance group in the world spanning 18 markets in the Asia Pacific region. Tata AIA Life has written retail new business weighted premium of Rs. 2,232 crore for the financial year 2018-19. For the same period, the 13th month persistency of the company was at 83.3% and, the individual death claims settlement ratio was 99.07%.One of the fastest growing companies in the Life Insurance sector, Tata AIA Life is now ranked at no. 5, based on individual weighted new business premium."
